flawless                                                    흠 하나 없는
budge                                                       약간 움직이다
acquiesce                                                   묵인하다
distinguished                                               유명한
decree                                                      법령

bilateral                                                   쌍방의/쌍무적인
ties                                                        유대관계
uproot                                                      뿌리채뽑다/떠나게만들다
destructive                                                 파괴적인
paramilitary                                                불법무장단체
in place                                                    준비되있는
in place                                                    (문맥의장소)에 있는
entrust                                                     맡기다

parcel                                                      소포
aesthetic                                                   심미적
brainwash                                                   세뇌시키다
joint                                                       공동의
carefree                                                    속편한
overworked                                                  혹사당하는
portrait                                                    초상화
exhale                                                      내뿜다/내쉬다
effigy                                                      조상
bonny                                                       어여쁜
oversight                                                   실수/간과
disarming                                                   마음을누그러뜨리는
disillusion                                                 환멸을느끼게하다
leeway                                                      재량/자유
sizeable                                                    꽤 큰
excusable                                                   용서되는
absently                                                    무심코
