annex                                                       합병하다
pioneer                                                     개척자
filibuster                                                  의사 진행 방해
surge                                                       밀려들다/급증
tentative                                                   머뭇거리는
ingenuity                                                   독창성 
majority                                                    과반수/다수(집단)
capitol                                                     미국 국회 의사당
unaccompanied                                               동행자가 없는
in place                                                    시행 중인
bullish                                                     희망에찬
authenticate                                                진짜임을 증명하다
predominantly                                               대부분
pleasing                                                    호감가는
deviation                                                   탈선
headlong                                                    성급하게
arouse                                                      자극하다
cohort                                                      집단
condemnation                                                비난
demoralize                                                  사기를 꺾다
brace                                                       버팀대
amiss                                                       잘못된
recognize                                                   공인받다
innuendo                                                    빈정거림
infraction                                                  위반
embroider                                                   (이야기를)꾸미다
boisterous                                                  활기가 넘치는
dislocate                                                   (시스템을)혼란에 빠뜨리다
cavity                                                      구멍
infidelity                                                  부정(unfaithfulness)
truce                                                       휴전
cite                                                        인용하다
foul                                                        더러운/반칙을 범하다
