custody                                                             (재판전)유치
gibberish                                                           횡설수설
mercurial                                                           변덕스러운
huff                                                                씩씩거리다

discrete                                                            별개의
confide                                                             비밀을 털어놓다
consonance                                                          일치
churn                                                               휘젓다
filth                                                               오물
dank                                                                눅눅한

sulfide                                                             황화물
encouragement                                                       격려
search                                                              수색
traveling museum                                                    이동식 박물관
broil                                                               굽다
antitrust                                                           독점금지의
lever                                                               레버/지레
wrongdoing                                                          범법행위
reasoning                                                           추론
plane crash                                                         비행기 사고
uprising                                                            반란
charge                                                              기소/고소하다
booking photographs                                                 mug shot
unlawful                                                            불법의
accuse                                                              기소하다
break apart                                                         분해하다
conclude                                                            결론을 내리다
defendant                                                           피고
consonant                                                           자음
vowel                                                               모음
chord                                                               화음
molecule                                                            분자
hydrogen                                                            수소
