tap out                                                  모스 부호 메시지를 보내다
back out                                                    포기하다
settle down                                                 자리를 잡다
open up                                                     발사하다
pool in                                                     (물이)고이다
drown                                                       익사시키다
drowns out                                                  (소리를)집어삼키다
covers more distance                                      더 많은 거리를 이동하다
commit                                                      (범죄를)저지르다
provision                                                   조항/대비
a controversial provision                                   논란이 많은 조항
keep in place                                               그대로 유지하다
take heart                                                  용기를 내어 ~하다
looming                                                     다가오는
tackle                                                      해결하다

round                                                       회차
municipalities                                              지방자치제
capitol hill                                                미국의회
disturb                                                     방해하다
adjourn                                                     휴정하다
counts                                                      항목들
grand jury                                                  대배심
legislature                                                 입법부
administration                                              행정부

work out                                                    잘 풀리다
put forward                                                 제시하다
bring up                                                 제안하다/언급하다/기르다
take up                                                     다루다/논의하다
along with                                                  ~와 마찬가지로
bonds                                                       대출
anniversary                                                 기념일
exchange                                                    거래소
