inquest                                 사인규명
concede                                 인정하다
dissemble                               가식적으로 꾸미다
inveterate                              상습적인
courteous                               공손한
cede                                    양도하다
reciprocal                              상호간의
repellent                               역겨운
alert                                   기민한 / 경계태세
equanimity                              침착
acquaint                                익히다 / 숙지하다 
arbitration                             중재
lug                                     (무거운걸)나르다
hew                                     자르다
lope                                    천천히 달리다
diverge                                 갈라지다 / 나뉘다
resolved                                단호한 / 굳게 결심한
indebted                                감사하는 
animosity                               반감 / 적대감
engrossed                               몰두한 
ebony                                   흑단 / 흑단같은
belly                                   (신체기관)배
arson                                   방화
misapprehension                         오해
