hold back                                                   억제하다
obesity                                                     비만
myocardial                                                  심근의
infarction                                                  경색
infraction                                                  위반
sincerely                                                   진심으로
blockage                                                    장애물
erosion                                                     부식/침식

artery                                                      동맥
reception                                                   받아들임
problematic                                                 문제가잇는
heat-trapping gasses                                        온실가스
pesticides                                                  농약
antibiotic                                                  항생제
irrigate                                                    관개하다/물을대다
diabetes                                                    당뇨병
deplete                                                     대폭 감소시키다
ozone depletion                                             오존층 파괴
emissions                                                   배출량
antibody                                                    항체
inequality                                                  불평등
inclusion                                                   포용
incubation                                                  배양
incubation period                                           잠복기
carbon footprint                                            탄소발자국

notwithstanding                                             그렇긴 하지만
nevertheless                                                그럼에도 불구하고
furthermore                                                 더욱이
consequently                                                결과적으로
give out                                                    배포하다/고장 나다
hand in                                                     제출하다
pass out                                                    기절하다/나눠주다
pay back                                                    갚다/복수하다
point out                                                   지적하다
